Keyword status,Keyword,Campaign,Ad group,Currency code,Status,Max. CPC,Policy details,Final URL,Mobile final URL,Impr.,Interactions,Interaction rate,Avg. inter cost,Cost,Conversions,Cost / conv.,Conv. rate
Enabled,+app +facturas,mi_comercio_mastercard_brand_search,mi_comercio_mastercard_facturacion_electronica_bro,MXN,Rarely shown (low Quality Score),79.96 (enhanced),Approved,,,38,2,5.26%,13.28,26.55,0,0,0%
Enabled,+mi +comercio elavon,mi_comercio_mastercard_brand_search,mi_comercio_mastercard_brand_bro,MXN,Eligible,79.96 (enhanced),Approved,,,8,4,50%,2.86,11.45,0,0,0%
Enabled,+mi +comercio app,mi_comercio_mastercard_brand_search,mi_comercio_mastercard_brand_bro,MXN,Eligible,79.96 (enhanced),Approved,,,6,1,16.67%,5.64,5.64,0,0,0%
Enabled,[mi comercio santander],mi_comercio_mastercard_brand_search,mi_comercio_mastercard_brand_exa,MXN,Eligible,79.96 (enhanced),Approved,,,20,3,15%,0.59,1.76,0,0,0%
Enabled,[mi comercio elavon],mi_comercio_mastercard_brand_search,mi_comercio_mastercard_brand_exa,MXN,Eligible,79.96 (enhanced),Approved,,,3,1,33.33%,1.22,1.22,0,0,0%
Enabled,+aplicacion para +pymes,mi_comercio_mastercard_brand_search,mi_comercio_mastercard_app_empresas_bro,MXN,Eligible,79.96 (enhanced),Approved,,,0,0,--,--,0,0,0,0%
Enabled,[mi comercio download],mi_comercio_mastercard_brand_search,mi_comercio_mastercard_brand_exa,MXN,Low search volume,79.96 (enhanced),Approved,,,0,0,--,--,0,0,0,0%
Enabled,+app para +pymes,mi_comercio_mastercard_brand_search,mi_comercio_mastercard_app_empresas_bro,MXN,Eligible,79.96 (enhanced),Approved,,,9,0,0%,--,0,0,0,0%
Enabled,[mi comercio android],mi_comercio_mastercard_brand_search,mi_comercio_mastercard_brand_exa,MXN,Low search volume,79.96 (enhanced),Approved,,,0,0,--,--,0,0,0,0%
Enabled,[mi comercio descarga],mi_comercio_mastercard_brand_search,mi_comercio_mastercard_brand_exa,MXN,Low search volume,79.96 (enhanced),Approved,,,0,0,--,--,0,0,0,0%
Enabled,[mi comercio ios],mi_comercio_mastercard_brand_search,mi_comercio_mastercard_brand_exa,MXN,Low search volume,79.96 (enhanced),Approved,,,0,0,--,--,0,0,0,0%
Enabled,+app +facturas +electronicas,mi_comercio_mastercard_brand_search,mi_comercio_mastercard_facturacion_electronica_bro,MXN,Eligible,79.96 (enhanced),Approved,,,0,0,--,--,0,0,0,0%
Enabled,+mi +comercio download,mi_comercio_mastercard_brand_search,mi_comercio_mastercard_brand_bro,MXN,Low search volume,79.96 (enhanced),Approved,,,0,0,--,--,0,0,0,0%
Enabled,[mi comercio app],mi_comercio_mastercard_brand_search,mi_comercio_mastercard_brand_exa,MXN,Low search volume,79.96 (enhanced),Approved,,,0,0,--,--,0,0,0,0%
Enabled,[mi comercio aplicacion],mi_comercio_mastercard_brand_search,mi_comercio_mastercard_brand_exa,MXN,Low search volume,79.96 (enhanced),Approved,,,0,0,--,--,0,0,0,0%
Enabled,+mi +comercio android,mi_comercio_mastercard_brand_search,mi_comercio_mastercard_brand_bro,MXN,Low search volume,79.96 (enhanced),Approved,,,0,0,--,--,0,0,0,0%
Enabled,+mi +comercio aplicacion,mi_comercio_mastercard_brand_search,mi_comercio_mastercard_brand_bro,MXN,Low search volume,79.96 (enhanced),Approved,,,0,0,--,--,0,0,0,0%
Enabled,+mi +comercio descarga,mi_comercio_mastercard_brand_search,mi_comercio_mastercard_brand_bro,MXN,Low search volume,79.96 (enhanced),Approved,,,0,0,--,--,0,0,0,0%
Enabled,+mi +comercio ios,mi_comercio_mastercard_brand_search,mi_comercio_mastercard_brand_bro,MXN,Low search volume,79.96 (enhanced),Approved,,,0,0,--,--,0,0,0,0%
Enabled,+aplicacion +facturas +electronicas,mi_comercio_mastercard_brand_search,mi_comercio_mastercard_facturacion_electronica_bro,MXN,Eligible,79.96 (enhanced),Approved,,,0,0,--,--,0,0,0,0%
